Time,State
2018-10-04 09:56:35.660686,1
2018-10-04 09:56:45.670977,1
2018-10-04 09:56:55.681274,1
2018-10-04 09:57:05.691626,1
2018-10-04 09:57:15.701970,1
2018-10-04 09:57:25.712311,1
2018-10-04 09:57:35.722638,1
2018-10-04 09:57:45.732977,1
2018-10-04 09:57:55.743319,1
2018-10-04 09:58:05.753665,1
2018-10-04 09:58:15.764007,1
2018-10-04 09:58:25.774348,1
2018-10-04 09:58:35.784700,1
2018-10-04 09:58:45.795047,1
2018-10-04 09:58:55.805404,1
2018-10-04 09:59:05.815750,1
2018-10-04 09:59:15.826099,1
2018-10-04 09:59:25.836442,1
2018-10-04 09:59:35.846784,1
2018-10-04 09:59:45.857208,1
2018-10-04 09:59:55.867559,1
2018-10-04 10:00:05.877910,1
2018-10-04 10:00:15.888266,1
2018-10-04 10:00:25.898609,1
2018-10-04 10:00:35.908953,1
2018-10-04 10:00:45.919297,1
2018-10-04 10:00:55.929649,1
2018-10-04 10:01:05.939996,1
2018-10-04 10:01:15.950340,1
2018-10-04 10:01:25.960689,1
2018-10-04 10:01:35.971042,1
2018-10-04 10:01:45.981398,1
2018-10-04 10:01:55.991757,1
2018-10-04 10:02:06.002110,1
2018-10-04 10:02:16.012459,1
2018-10-04 10:02:26.022800,1
2018-10-04 10:02:36.033141,1
2018-10-04 10:02:46.043490,1
2018-10-04 10:02:56.053838,1
2018-10-04 10:03:06.064178,1
2018-10-04 10:03:16.074520,1
2018-10-04 10:03:26.084861,1
2018-10-04 10:03:36.095200,1
2018-10-04 10:03:46.105539,1
2018-10-04 10:03:56.115878,1
2018-10-04 10:04:06.126212,1
2018-10-04 10:04:16.136554,1
2018-10-04 10:04:26.146958,1
2018-10-04 10:04:36.157304,1
2018-10-04 10:04:46.167645,1
2018-10-04 10:04:56.177991,1
2018-10-04 10:05:06.188338,1
2018-10-04 10:05:16.198682,1
2018-10-04 10:05:26.209014,1
2018-10-04 10:05:36.219353,1
2018-10-04 10:05:46.229700,1
2018-10-04 10:05:56.240037,1
2018-10-04 10:06:06.250373,1
2018-10-04 10:06:16.260712,1
2018-10-04 10:06:26.271049,1
2018-10-04 10:06:36.281384,1
2018-10-04 10:06:46.291728,1
2018-10-04 10:06:56.302064,1
2018-10-04 10:07:06.312402,1
2018-10-04 10:07:16.322738,1
2018-10-04 10:07:26.333075,1
2018-10-04 10:07:36.343412,1
2018-10-04 10:07:46.353755,1
2018-10-04 10:07:56.364100,1
2018-10-04 10:08:06.374433,1
2018-10-04 10:08:16.384765,1
2018-10-04 10:08:26.395107,1
2018-10-04 10:08:36.405449,1
2018-10-04 10:08:46.415789,1
2018-10-04 10:08:56.426127,1
2018-10-04 10:09:06.436459,1
2018-10-04 10:09:16.446798,1
2018-10-04 10:09:26.457009,1
2018-10-04 10:09:36.467349,1
2018-10-04 10:09:46.477689,1
2018-10-04 10:09:56.488038,1
2018-10-04 10:10:06.498387,1
2018-10-04 10:10:16.508743,1
2018-10-04 10:10:26.519091,1
2018-10-04 10:10:36.529443,1
2018-10-04 10:10:46.539805,1
2018-10-04 10:10:56.550167,1
2018-10-04 10:11:06.560521,1
2018-10-04 10:11:16.570875,1
2018-10-04 10:11:26.581229,1
2018-10-04 10:11:36.591566,1
2018-10-04 10:11:46.601929,1
2018-10-04 10:11:56.612283,1
2018-10-04 10:12:06.622631,1
2018-10-04 10:12:16.632991,1
2018-10-04 10:12:26.643344,1
2018-10-04 10:12:36.653688,1
2018-10-04 10:12:46.664040,1
2018-10-04 10:12:56.674388,1
2018-10-04 10:13:06.684733,1
2018-10-04 10:13:16.695089,1
2018-10-04 10:13:26.705435,1
2018-10-04 10:13:36.715786,1
2018-10-04 10:13:46.726140,1
2018-10-04 10:13:56.736489,1
2018-10-04 10:14:06.746833,1
2018-10-04 10:14:16.757271,1
2018-10-04 10:14:26.767597,1
2018-10-04 10:14:36.777951,1
2018-10-04 10:14:46.788303,1
2018-10-04 10:14:56.798675,1
2018-10-04 10:15:06.809036,1
2018-10-04 10:15:16.819404,1
2018-10-04 10:15:26.829764,1
2018-10-04 10:15:36.840122,1
2018-10-04 10:15:46.850487,1
2018-10-04 10:15:56.860839,1
2018-10-04 10:16:06.871190,1
2018-10-04 10:16:16.881541,1
2018-10-04 10:16:26.891886,1
2018-10-04 10:16:36.902217,1
2018-10-04 10:16:46.912576,1
2018-10-04 10:16:56.922922,1
2018-10-04 10:17:06.933265,1
2018-10-04 10:17:16.943618,1
2018-10-04 10:17:26.953962,1
2018-10-04 10:17:36.964310,1
2018-10-04 10:17:46.974662,1
2018-10-04 10:17:56.985012,1
2018-10-04 10:18:06.995360,1
2018-10-04 10:18:17.005711,1
2018-10-04 10:18:27.016063,1
2018-10-04 10:18:37.026407,1
2018-10-04 10:18:47.036759,1
2018-10-04 10:18:57.047192,1
2018-10-04 10:19:07.057540,1
2018-10-04 10:19:17.067898,1
2018-10-04 10:19:27.078483,1
2018-10-04 10:19:37.088828,1
2018-10-04 10:19:47.099179,1
2018-10-04 10:19:57.109532,1
2018-10-04 10:20:07.119884,1
2018-10-04 10:20:17.130247,1
2018-10-04 10:20:27.140590,1
2018-10-04 10:20:37.150945,1
2018-10-04 10:20:47.161300,1
2018-10-04 10:20:57.171643,1
2018-10-04 10:21:07.181991,1
2018-10-04 10:21:17.192344,1
2018-10-04 10:21:27.202693,1
2018-10-04 10:21:37.213037,1
2018-10-04 10:21:47.223387,1
2018-10-04 10:21:57.233730,1
2018-10-04 10:22:07.244077,1
2018-10-04 10:22:17.254428,1
2018-10-04 10:22:27.264775,1
2018-10-04 10:22:37.275116,1
2018-10-04 10:22:47.285469,1
2018-10-04 10:22:57.295812,1
2018-10-04 10:23:07.306151,1
2018-10-04 10:23:17.316502,1
2018-10-04 10:23:27.326848,1
2018-10-04 10:23:37.337267,1
2018-10-04 10:23:47.347617,1
2018-10-04 10:23:57.357966,1
2018-10-04 10:24:07.368313,1
2018-10-04 10:24:17.378676,1
2018-10-04 10:24:27.389031,1
2018-10-04 10:24:37.399373,1
2018-10-04 10:24:47.409721,1
2018-10-04 10:24:57.420066,1
2018-10-04 10:25:07.430416,1
2018-10-04 10:25:17.440767,1
2018-10-04 10:25:27.451117,1
2018-10-04 10:25:37.457012,1
2018-10-04 10:25:47.467365,1
2018-10-04 10:25:57.477722,1
2018-10-04 10:26:07.488063,1
2018-10-04 10:26:17.498421,1
2018-10-04 10:26:27.508767,1
2018-10-04 10:26:37.519106,1
2018-10-04 10:26:47.529456,1
2018-10-04 10:26:57.539805,1
2018-10-04 10:27:07.550154,1
2018-10-04 10:27:17.560500,1
2018-10-04 10:27:27.570851,1
2018-10-04 10:27:37.581193,1
2018-10-04 10:27:47.591547,1
2018-10-04 10:27:57.601899,1
2018-10-04 10:28:07.612247,1
2018-10-04 10:28:17.622594,1
2018-10-04 10:28:27.632947,1
2018-10-04 10:28:37.643289,1
2018-10-04 10:28:47.653639,1
2018-10-04 10:28:57.663989,1
2018-10-04 10:29:07.674329,1
2018-10-04 10:29:17.684683,1
2018-10-04 10:29:27.695031,1
2018-10-04 10:29:37.705375,1
2018-10-04 10:29:47.715723,1
2018-10-04 10:29:57.726070,1
2018-10-04 10:30:07.736412,1
2018-10-04 10:30:17.746769,1
2018-10-04 10:30:27.757211,1
2018-10-04 10:30:37.767553,1
2018-10-04 10:30:47.775590,1
2018-10-04 10:30:57.785943,1
2018-10-04 10:31:07.796293,1
2018-10-04 10:31:17.806642,1
2018-10-04 10:31:27.817050,1
2018-10-04 10:31:37.827403,1
2018-10-04 10:31:47.837749,1
2018-10-04 10:31:57.848099,1
2018-10-04 10:32:07.858452,1
2018-10-04 10:32:17.868809,1
2018-10-04 10:32:27.879154,1
2018-10-04 10:32:37.889507,1
2018-10-04 10:32:47.899859,1
2018-10-04 10:32:57.910213,1
2018-10-04 10:33:07.920558,1
2018-10-04 10:33:17.930906,1
2018-10-04 10:33:27.941250,1
2018-10-04 10:33:37.951600,1
2018-10-04 10:33:47.961943,1
2018-10-04 10:33:57.972301,1
2018-10-04 10:34:07.982635,1
2018-10-04 10:34:17.992985,1
2018-10-04 10:34:28.003332,1
2018-10-04 10:34:38.013683,1
2018-10-04 10:34:48.024014,1
2018-10-04 10:34:58.034356,1
2018-10-04 10:35:08.044699,1
2018-10-04 10:35:18.055028,1
2018-10-04 10:35:28.065373,1
2018-10-04 10:35:38.075712,1
2018-10-04 10:35:48.086061,1
2018-10-04 10:35:58.096398,1
2018-10-04 10:36:08.106733,1
2018-10-04 10:36:18.117141,1
2018-10-04 10:36:28.127485,1
2018-10-04 10:36:38.137823,1
2018-10-04 10:36:48.148167,1
2018-10-04 10:36:58.158513,1
2018-10-04 10:37:08.168855,1
2018-10-04 10:37:18.179195,1
2018-10-04 10:37:28.189528,1
2018-10-04 10:37:38.199877,1
2018-10-04 10:37:48.210233,1
2018-10-04 10:37:58.216999,1
2018-10-04 10:38:08.227326,1
2018-10-04 10:38:18.237657,1
2018-10-04 10:38:28.247991,1
2018-10-04 10:38:38.258346,1
2018-10-04 10:38:48.268684,1
2018-10-04 10:38:58.279019,1
2018-10-04 10:39:08.289358,1
2018-10-04 10:39:18.299699,1
2018-10-04 10:39:28.310037,1
2018-10-04 10:39:38.320380,1
2018-10-04 10:39:48.330711,1
2018-10-04 10:39:58.341040,1
2018-10-04 10:40:08.351384,1
2018-10-04 10:40:18.361728,1
2018-10-04 10:40:28.372067,1
2018-10-04 10:40:38.382407,1
2018-10-04 10:40:48.392740,1
2018-10-04 10:40:58.403072,1
2018-10-04 10:41:08.413411,1
2018-10-04 10:41:18.423743,1
2018-10-04 10:41:28.434089,1
2018-10-04 10:41:38.444432,1
2018-10-04 10:41:48.454773,1
2018-10-04 10:41:58.457010,1
2018-10-04 10:42:08.467551,1
2018-10-04 10:42:18.477894,1
2018-10-04 10:42:28.488241,1
2018-10-04 10:42:38.498588,1
2018-10-04 10:42:48.508939,1
2018-10-04 10:42:58.519280,1
2018-10-04 10:43:08.529631,1
2018-10-04 10:43:18.539984,1
2018-10-04 10:43:28.550337,1
2018-10-04 10:43:38.560683,1
2018-10-04 10:43:48.571022,1
2018-10-04 10:43:58.581366,1
2018-10-04 10:44:08.591702,1
2018-10-04 10:44:18.602037,1
2018-10-04 10:44:28.612369,1
2018-10-04 10:44:38.622702,1
2018-10-04 10:44:48.633035,1
2018-10-04 10:44:58.643380,1
2018-10-04 10:45:08.653720,1
2018-10-04 10:45:18.664058,1
2018-10-04 10:45:28.674393,1
2018-10-04 10:45:38.684734,1
2018-10-04 10:45:48.695064,1
2018-10-04 10:45:58.705390,1
2018-10-04 10:46:08.715725,1
2018-10-04 10:46:18.726054,1
2018-10-04 10:46:28.736384,1
2018-10-04 10:46:38.746717,1
2018-10-04 10:46:48.757132,1
2018-10-04 10:46:58.767466,1
2018-10-04 10:47:08.777808,1
2018-10-04 10:47:18.788150,1
2018-10-04 10:47:28.798484,1
2018-10-04 10:47:38.808822,1
2018-10-04 10:47:48.819148,1
2018-10-04 10:47:58.829484,1
2018-10-04 10:48:08.839822,1
2018-10-04 10:48:18.850148,1
2018-10-04 10:48:28.860482,1
2018-10-04 10:48:38.870832,1
2018-10-04 10:48:48.881188,1
2018-10-04 10:48:58.891534,1
2018-10-04 10:49:08.901874,1
2018-10-04 10:49:18.912210,1
2018-10-04 10:49:28.922545,1
2018-10-04 10:49:38.932883,1
2018-10-04 10:49:48.943225,1
2018-10-04 10:49:58.953556,1
2018-10-04 10:50:08.963906,1
2018-10-04 10:50:18.974243,1
2018-10-04 10:50:28.984579,1
2018-10-04 10:50:38.994919,1
2018-10-04 10:50:49.005256,1
2018-10-04 10:50:59.015593,1
2018-10-04 10:51:09.025933,1
2018-10-04 10:51:19.036275,1
2018-10-04 10:51:29.046607,1
2018-10-04 10:51:39.056960,1
2018-10-04 10:51:49.067308,1
2018-10-04 10:51:59.077651,1
2018-10-04 10:52:09.088004,1
2018-10-04 10:52:19.098358,1
2018-10-04 10:52:29.108712,1
2018-10-04 10:52:39.119058,1
2018-10-04 10:52:49.129402,1
2018-10-04 10:52:59.139735,1
2018-10-04 10:53:09.150076,1
2018-10-04 10:53:19.160421,1
2018-10-04 10:53:29.170767,1
2018-10-04 10:53:39.181117,1
2018-10-04 10:53:49.191463,1
2018-10-04 10:53:59.201805,1
2018-10-04 10:54:09.212145,1
2018-10-04 10:54:19.222487,1
2018-10-04 10:54:29.232823,1
2018-10-04 10:54:39.243166,1
2018-10-04 10:54:49.253502,1
2018-10-04 10:54:59.263839,1
2018-10-04 10:55:09.274177,1
2018-10-04 10:55:19.284519,1
2018-10-04 10:55:29.294851,1
2018-10-04 10:55:39.305194,1
2018-10-04 10:55:49.315537,1
2018-10-04 10:55:59.325875,1
2018-10-04 10:56:09.336208,1
2018-10-04 10:56:19.346545,1
2018-10-04 10:56:29.356935,1
2018-10-04 10:56:39.367284,1
2018-10-04 10:56:49.377627,1
2018-10-04 10:56:59.387968,1
2018-10-04 10:57:09.398319,1
2018-10-04 10:57:19.408675,1
2018-10-04 10:57:29.419031,1
2018-10-04 10:57:39.429406,1
2018-10-04 10:57:49.439767,1
2018-10-04 10:57:59.450122,1
2018-10-04 10:58:09.457004,1
2018-10-04 10:58:19.467366,1
2018-10-04 10:58:29.477721,1
2018-10-04 10:58:39.488090,1
2018-10-04 10:58:49.498450,1
2018-10-04 10:58:59.508810,1
2018-10-04 10:59:09.519161,1
2018-10-04 10:59:19.529521,1
2018-10-04 10:59:29.539883,1
2018-10-04 10:59:39.550247,1
2018-10-04 10:59:49.560605,1
2018-10-04 10:59:59.570956,1
2018-10-04 11:00:09.581317,1
2018-10-04 11:00:19.591671,1
2018-10-04 11:00:29.602026,1
2018-10-04 11:00:39.612394,1
2018-10-04 11:00:49.622756,1
2018-10-04 11:00:59.633108,1
2018-10-04 11:01:09.643469,1
2018-10-04 11:01:19.653818,1
2018-10-04 11:01:29.664157,1
2018-10-04 11:01:39.674502,1
2018-10-04 11:01:49.684844,1
2018-10-04 11:01:59.695185,1
2018-10-04 11:02:09.705536,1
2018-10-04 11:02:19.715881,1
2018-10-04 11:02:29.726221,1
2018-10-04 11:02:39.736567,1
2018-10-04 11:02:49.746964,1
2018-10-04 11:02:59.757306,1
2018-10-04 11:03:09.767650,1
2018-10-04 11:03:19.777996,1
2018-10-04 11:03:29.788334,1
2018-10-04 11:03:39.798678,1
2018-10-04 11:03:49.809032,1
2018-10-04 11:03:59.819372,1
2018-10-04 11:04:09.829716,1
2018-10-04 11:04:19.840074,1
2018-10-04 11:04:29.850422,1
2018-10-04 11:04:39.860775,1
2018-10-04 11:04:49.871125,1
2018-10-04 11:04:59.881662,1
2018-10-04 11:05:09.892009,1
2018-10-04 11:05:19.902355,1
2018-10-04 11:05:29.912692,1
2018-10-04 11:05:39.923046,1
2018-10-04 11:05:49.933398,1
2018-10-04 11:05:59.943736,1
2018-10-04 11:06:09.954074,1
2018-10-04 11:06:19.964414,1
2018-10-04 11:06:29.974748,1
2018-10-04 11:06:39.985092,1
2018-10-04 11:06:49.995428,1
2018-10-04 11:07:00.005763,1
2018-10-04 11:07:10.016098,1
2018-10-04 11:07:20.026437,1
2018-10-04 11:07:30.036774,1
2018-10-04 11:07:40.047192,1
2018-10-04 11:07:50.057538,1
2018-10-04 11:08:00.067880,1
2018-10-04 11:08:10.078256,1
2018-10-04 11:08:20.088611,1
2018-10-04 11:08:30.098962,1
2018-10-04 11:08:40.109309,1
2018-10-04 11:08:50.119640,1
2018-10-04 11:09:00.129980,1
2018-10-04 11:09:10.140323,1
2018-10-04 11:09:20.150667,1
2018-10-04 11:09:30.160998,1
2018-10-04 11:09:40.171337,1
2018-10-04 11:09:50.181669,1
2018-10-04 11:10:00.191998,1
2018-10-04 11:10:10.202332,1
2018-10-04 11:10:20.212680,1
2018-10-04 11:10:30.223025,1
2018-10-04 11:10:40.233370,1
2018-10-04 11:10:50.243718,1
2018-10-04 11:11:00.254065,1
2018-10-04 11:11:10.264412,1
2018-10-04 11:11:20.274754,1
2018-10-04 11:11:30.285099,1
2018-10-04 11:11:40.295437,1
2018-10-04 11:11:50.305781,1
2018-10-04 11:12:00.316126,1
2018-10-04 11:12:10.317006,1
2018-10-04 11:12:20.327348,1
2018-10-04 11:12:30.337688,1
2018-10-04 11:12:40.347001,1
2018-10-04 11:12:50.357340,1
2018-10-04 11:13:00.367680,1
2018-10-04 11:13:10.378024,1
2018-10-04 11:13:20.388372,1
2018-10-04 11:13:30.398717,1
2018-10-04 11:13:40.409055,1
2018-10-04 11:13:50.419384,1
2018-10-04 11:14:00.429714,1
2018-10-04 11:14:10.440047,1
2018-10-04 11:14:20.450376,1
2018-10-04 11:14:30.456998,1
2018-10-04 11:14:40.467334,1
2018-10-04 11:14:50.477663,1
2018-10-04 11:15:00.487999,1
2018-10-04 11:15:10.498330,1
2018-10-04 11:15:20.508663,1
2018-10-04 11:15:30.518993,1
2018-10-04 11:15:40.529324,1
2018-10-04 11:15:50.539655,1
2018-10-04 11:16:00.549984,1
2018-10-04 11:16:10.560320,1
2018-10-04 11:16:20.570656,1
2018-10-04 11:16:30.580983,1
2018-10-04 11:16:40.591329,1
2018-10-04 11:16:50.601667,1
2018-10-04 11:17:00.612004,1
2018-10-04 11:17:10.622340,1
2018-10-04 11:17:20.632689,1
2018-10-04 11:17:30.643019,1
2018-10-04 11:17:40.653362,1
2018-10-04 11:17:50.663699,1
2018-10-04 11:18:00.674033,1
2018-10-04 11:18:10.684364,1
2018-10-04 11:18:20.694695,1
2018-10-04 11:18:30.705036,1
2018-10-04 11:18:40.715371,1
2018-10-04 11:18:50.725705,1
2018-10-04 11:19:00.736039,1
2018-10-04 11:19:10.746376,1
2018-10-04 11:19:20.756711,1
2018-10-04 11:19:30.767119,1
2018-10-04 11:19:40.777456,1
2018-10-04 11:19:50.787792,1
2018-10-04 11:20:00.798129,1
2018-10-04 11:20:10.808475,1
2018-10-04 11:20:20.818823,1
2018-10-04 11:20:30.829154,1
2018-10-04 11:20:40.839497,1
2018-10-04 11:20:50.849837,1
2018-10-04 11:21:00.860177,1
2018-10-04 11:21:10.870518,1
2018-10-04 11:21:20.880864,1
2018-10-04 11:21:30.891195,1
2018-10-04 11:21:40.901539,1
2018-10-04 11:21:50.911895,1
2018-10-04 11:22:00.922245,1
2018-10-04 11:22:10.932595,1
2018-10-04 11:22:20.942959,1
2018-10-04 11:22:30.953313,1
2018-10-04 11:22:40.963652,1
2018-10-04 11:22:50.973997,1
2018-10-04 11:23:00.984340,1
2018-10-04 11:23:10.994683,1
2018-10-04 11:23:21.005026,1
2018-10-04 11:23:31.015377,1
2018-10-04 11:23:41.025721,1
2018-10-04 11:23:51.036065,1
2018-10-04 11:24:01.046421,1
2018-10-04 11:24:11.056764,1
2018-10-04 11:24:21.067170,1
2018-10-04 11:24:31.077517,1
2018-10-04 11:24:41.087858,1
2018-10-04 11:24:51.098205,1
2018-10-04 11:25:01.108570,1
2018-10-04 11:25:11.118895,1
2018-10-04 11:25:21.129246,1
2018-10-04 11:25:31.139595,1
2018-10-04 11:25:41.149949,1
2018-10-04 11:25:51.160304,1
2018-10-04 11:26:01.170650,1
2018-10-04 11:26:11.180957,1
2018-10-04 11:26:21.191291,1
2018-10-04 11:26:31.201628,1
2018-10-04 11:26:41.211974,1
2018-10-04 11:26:51.222308,1
2018-10-04 11:27:01.232653,1
2018-10-04 11:27:11.242990,1
2018-10-04 11:27:21.253334,1
2018-10-04 11:27:31.263684,1
2018-10-04 11:27:41.274240,1
2018-10-04 11:27:51.284585,1
2018-10-04 11:28:01.294942,1
2018-10-04 11:28:11.305278,1
2018-10-04 11:28:21.315623,1
2018-10-04 11:28:31.325964,1
2018-10-04 11:28:41.336310,1
2018-10-04 11:28:51.346641,1
2018-10-04 11:29:01.357063,1
2018-10-04 11:29:11.367390,1
2018-10-04 11:29:21.377732,1
2018-10-04 11:29:31.388066,1
2018-10-04 11:29:41.398417,1
2018-10-04 11:29:51.408762,1
2018-10-04 11:30:01.419105,1
2018-10-04 11:30:11.429425,1
2018-10-04 11:30:21.439757,1
2018-10-04 11:30:31.450105,1
2018-10-04 11:30:41.457004,1
2018-10-04 11:30:51.467334,1
2018-10-04 11:31:01.477677,1
2018-10-04 11:31:11.488018,1
2018-10-04 11:31:21.498363,1
2018-10-04 11:31:31.508695,1
2018-10-04 11:31:41.519038,1
2018-10-04 11:31:51.529368,1
2018-10-04 11:32:01.539705,1
2018-10-04 11:32:11.550030,1
2018-10-04 11:32:21.560375,1
2018-10-04 11:32:31.570714,1
2018-10-04 11:32:41.581065,1
2018-10-04 11:32:51.591393,1
2018-10-04 11:33:01.601731,1
2018-10-04 11:33:11.612057,1
2018-10-04 11:33:21.622397,1
2018-10-04 11:33:31.632725,1
2018-10-04 11:33:41.643065,1
2018-10-04 11:33:51.653393,1
2018-10-04 11:34:01.663730,1
2018-10-04 11:34:11.674071,1
2018-10-04 11:34:21.684413,1
2018-10-04 11:34:31.694747,1
2018-10-04 11:34:41.705088,1
2018-10-04 11:34:51.715418,1
2018-10-04 11:35:01.725757,1
2018-10-04 11:35:11.736093,1
2018-10-04 11:35:21.746421,1
2018-10-04 11:35:31.756752,1
2018-10-04 11:35:41.767155,1
2018-10-04 11:35:51.777498,1
2018-10-04 11:36:01.787844,1
2018-10-04 11:36:11.798195,1
